timestamp,open,low,high,close,volume
2022-08-04,108,90,110,105,368990300
2022-08-05,99,95,108,99,90691100
2022-08-08,99,95,100,95,23505600
2022-08-09,94,90,104,101,71048300
2022-08-10,103,101,110,108,26207100
2022-08-11,110,107,118,116,39586800
2022-08-12,118,105,127,105,65016900
2022-08-15,95,95,101,96,34763600
2022-08-16,88,88,103,101,37470300
2022-08-17,88,88,103,101,0
2022-08-18,102,94,105,96,38200800
2022-08-19,94,91,103,103,58610300
2022-08-22,103,98,105,103,11150200
2022-08-23,104,101,107,106,14649000
2022-08-24,107,103,116,116,24313800
2022-08-25,113,113,127,127,17082100
2022-08-26,129,129,139,134,9231700
2022-08-29,135,121,135,121,6575200
2022-08-30,122,121,133,133,7706000
2022-08-31,135,120,146,135,17130500
2022-09-01,135,135,148,144,5297800
2022-09-02,144,131,157,135,9006700
2022-09-05,136,126,147,142,4334000
2022-09-06,142,142,153,152,6001000
2022-09-07,149,149,167,167,3984900
2022-09-08,176,176,183,183,324800
2022-09-09,184,167,200,192,222285500
2022-09-12,192,191,210,210,236413100
2022-09-13,210,210,230,230,124008400
2022-09-14,230,228,252,252,81970000
2022-09-15,252,228,262,228,111241000
2022-09-16,206,206,206,206,441600
2022-09-19,186,186,186,186,531700
2022-09-20,168,168,168,168,331400
2022-09-21,152,152,181,181,528911900
2022-09-22,181,163,193,163,650882900
2022-09-23,156,147,160,147,366331300
2022-09-26,133,133,157,146,635547000
2022-09-27,146,139,154,147,558902100
2022-09-28,147,133,149,133,1275386400
2022-09-29,120,120,123,120,382873400
2022-09-30,108,108,109,108,81688000
2022-10-03,98,98,117,113,276993000
2022-10-04,113,112,121,117,263121000
2022-10-05,117,116,123,120,235883500
2022-10-06,120,114,124,117,274455900
2022-10-07,117,115,123,119,267538000
2022-10-10,119,108,123,108,462346700
2022-10-11,98,98,105,98,188185000
2022-10-12,89,89,93,89,117689500
2022-10-13,81,81,97,95,262173400
2022-10-14,95,86,104,86,605482600
2022-10-17,78,78,82,78,122420000
2022-10-18,71,71,72,71,45089800
2022-10-19,64,64,64,64,11969100
2022-10-20,60,58,68,63,58926900
2022-10-21,63,61,64,62,17135600
2022-10-24,56,56,62,59,21788700
2022-10-25,59,54,60,55,29776600
2022-10-26,56,51,56,55,31543000
2022-10-27,55,55,59,59,24622200
2022-10-28,58,54,60,56,14402900
2022-10-31,56,54,56,55,7443900
2022-11-01,55,52,55,53,10474200
2022-11-02,54,49,54,49,16386400
2022-11-03,49,46,53,48,21730400
2022-11-04,49,48,51,49,6013200
2022-11-07,44,41,44,42,0
2022-11-08,44,41,44,42,0
2022-11-09,44,41,44,42,0
2022-11-10,44,41,44,42,5079200
2022-11-11,42,41,46,46,16481200
2022-11-14,47,47,50,50,9488300
2022-11-15,54,52,55,55,8664200
2022-11-16,60,57,60,60,16306000
2022-11-17,66,55,66,55,57070500
2022-11-18,56,51,59,53,27699200
2022-11-21,53,51,55,53,4523000
2022-11-22,53,50,53,51,7542500
2022-11-23,51,49,51,50,2660100
2022-11-24,50,48,51,49,3744600
2022-11-25,49,48,52,49,5509800
2022-11-28,49,48,49,48,2785100
2022-11-29,47,45,48,46,3365700
2022-11-30,46,46,50,50,4969000
2022-12-01,46,46,50,50,0
2022-12-02,50,49,53,50,6525400
2022-12-05,51,49,53,50,2740500
2022-12-06,50,47,50,48,3348600
2022-12-07,49,45,49,46,4060400
2022-12-08,46,44,47,45,3983200
2022-12-09,45,43,47,44,2700200
2022-12-12,45,43,46,44,1520900
2022-12-13,43,42,46,45,4280700
2022-12-14,45,43,46,43,1546400
2022-12-15,44,42,45,44,1559400
2022-12-16,44,43,45,44,1163700
2022-12-19,44,43,45,43,1288500
2022-12-20,43,42,45,44,2360100
2022-12-21,43,42,46,43,2695200
2022-12-22,43,43,45,43,1393800
2022-12-23,44,43,46,45,2237000
2022-12-26,45,43,46,44,1222600
2022-12-27,44,43,45,44,2463000
2022-12-28,43,43,45,44,838000
2022-12-29,45,43,45,44,1785300
2022-12-30,43,43,44,43,705200
2023-01-02,43,42,44,43,966600
2023-01-03,43,43,44,43,1337900
2023-01-04,43,43,44,43,1164200
2023-01-05,43,42,43,42,1070800
2023-01-06,42,38,42,41,2145500
